"Genus"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Eikenella"	147.122985673033	1.09954300470232	0.262959726206655	4.18141219023862	2.89704132043638e-05	0.000440350280706329
"Oceanithermus"	287.800915924028	1.10294669557191	0.246080246286165	4.48206108461589	7.39255752823472e-06	0.000144989515392475
"Gallionella"	277.205673903705	1.1048659846159	0.252359605698928	4.37814119084509	1.19695801477369e-05	0.000207928706566402
"Simonsiella"	322.830039119412	1.1361095833192	0.368996777211432	3.07891465043397	0.00207756191787002	0.0166204953429602
"unclassified..derived.from.Thiotrichales."	0.343082481038372	1.1531046921152	0.272216009603915	4.23599146057946	2.27545424653616e-05	0.00037391248159297
"Amycolatopsis"	645.507657806765	1.16356457880614	0.303123706329648	3.83857994115695	0.00012374792631492	0.00141959885282022
"Kosmotoga"	632.196908149809	1.17907914307675	0.31586816300754	3.73282046487415	0.000189347561031672	0.00209315122013194
"Nitrospira"	358.59163637519	1.19271102536342	0.264753370702194	4.50498900996065	6.63763776492829e-06	0.00013452279203588
"Nitratiruptor"	483.357028216332	1.19837666347559	0.263768710568435	4.54328589957858	5.53840541880933e-06	0.000124716684986521
"Edwardsiella"	628.064299039258	1.23004031702886	0.299627099022291	4.10523721333147	4.03900199349326e-05	0.000584693621915215
"Pediococcus"	1312.88640107872	1.26512312380515	0.208425343350205	6.06991023005986	1.27981768942004e-09	6.48440962639487e-08
"Nocardia"	1478.99800038329	1.28082833836187	0.33302434465477	3.84605017296752	0.00012003719320661	0.00140351179749267
"Mucilaginibacter"	1874.36292621139	1.28648293536401	0.304297756422281	4.22771087927025	2.36080876853283e-05	0.000377729402965253
"Gordonia"	701.921405947103	1.28922658029607	0.35714446336774	3.60981818992555	0.000306411697202959	0.00321203986033447
"Gemmata"	685.107062380176	1.29790517362907	0.295162418519545	4.39725755107648	1.09627232885884e-05	0.000196039287042993
"Acetobacter"	815.745189121237	1.31173092623305	0.335787299656578	3.90643400621347	9.36682098363004e-05	0.00113900543160941
"Fervidobacterium"	1197.01006138822	1.38855556937567	0.306562970614287	4.52943017414432	5.91429755428494e-06	0.000128424746893044
"Saccharopolyspora"	2049.48843848395	1.39614930884989	0.302677479730611	4.61266332101247	3.97541953467902e-06	9.29636568109556e-05
"Mesoplasma"	396.747440696599	1.43967611209998	0.303242162746525	4.7476119384605	2.05832476626297e-06	5.44113677342558e-05
"Kingella"	355.141699605885	1.47325337271435	0.32626090058575	4.5155682770119	6.3147196324705e-06	0.000132391363329037
"Brevibacterium"	1500.19647008571	1.48953160038153	0.384098347187062	3.87799533970946	0.000105320734363934	0.00125558836261318
"Ethanoligenens"	18405.068007947	1.52640261874926	0.316960344117702	4.81575265510954	1.46646082674137e-06	4.05276446663071e-05
"Lyngbya"	332.530435848069	1.81343843087094	0.312719964295279	5.79892120081797	6.67428831411632e-09	2.70531152998848e-07
"Coraliomargarita"	1195.87890799059	1.84706368684716	0.359003537288657	5.14497350303829	2.67558572961163e-07	8.13378061801935e-06
"Halothiobacillus"	353.310081260479	1.92377554860605	0.328534338568848	5.85563005981764	4.75204958626806e-09	2.06374724889356e-07
"Phaeobacter"	185.589065986706	1.92783548597957	0.381705513171776	5.05058328856781	4.40463005856369e-07	1.27524527409844e-05
"Oxalobacter"	1172.16756674747	1.97005575624707	0.294958009454183	6.67910581540957	2.40404540911367e-11	1.32878146249192e-09
"Bifidobacterium"	23026.3380553316	2.02444472643329	0.273556120773955	7.40047314863824	1.35700108391566e-13	1.1786523700296e-11
"Methylobacter"	343.048621670981	2.07651981358769	0.349284678707456	5.94506412726703	2.76348647759172e-09	1.29246136798136e-07
"Limnobacter"	362.905988054575	2.08548639093956	0.39955285844454	5.219550672365	1.79357738722162e-07	6.0583058412819e-06
"Nautilia"	494.28581032508	2.08816190649423	0.374057560318728	5.58246143912968	2.37138198522485e-08	8.48117792362769e-07
"Ornithobacterium"	19.9291216113676	2.28492822826328	0.821017457647165	2.7830446319757	0.00538513975682757	0.0372064201380814
"Pelagibaca"	293.303723514501	2.41217727294547	0.353305974416213	6.82744546545311	8.64399690291978e-12	5.76639075419222e-10
"Parachlamydia"	401.147667013312	2.45215387422039	0.341132582664643	7.18827224027154	6.56163299802224e-13	4.9868410784969e-11
"Labrenzia"	1140.08855509345	2.60205614037319	0.381862341037259	6.81412085126063	9.48419531939509e-12	5.76639075419222e-10
"Gemmatimonas"	1103.60692384234	2.80599678635241	0.299627462973308	9.36495192565971	7.60849207072578e-21	1.54198772633376e-18
"Cylindrospermopsis"	255.062801722345	2.85345340417205	0.381650879590899	7.4766063875727	7.62664053302366e-14	8.28991963729113e-12
"Hoeflea"	449.655307838162	2.95923506101152	0.396288362488456	7.46737815470855	8.18084174732677e-14	8.28991963729113e-12
"Listonella"	11.8483243837697	3.12318583518327	0.605140802522655	5.16108948886544	2.4551677375909e-07	7.8565367602909e-06
"Fulvimarina"	875.427912569904	3.97684865535037	0.422828193791938	9.40535355432629	5.18555727563722e-21	1.54198772633376e-18
"Leptospirillum"	34.8050182888032	4.47995127740367	0.536477212079953	8.35068326580851	6.78691962671729e-17	1.03161178326103e-14
"Marinococcus"	31.995286727019	5.49364345084179	1.17278648338411	4.68426566018199	2.8096540630847e-06	6.83307868142198e-05
"Fluoribacter"	619.221554291755	9.90246409870492	0.632934216949376	15.6453290618936	3.57516443305985e-55	2.17369997530039e-52
